Job title,Company name,Posted on,Salary,Job type,Location,Description,Apply link
Specialist Teaching Assistant SEN TA,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Three Bridges, West Sussex","Are you looking for a school that cares, a team that supports and a learner who is keen to thrive? Do you dream of joining a team that works together and guarantees a safe and enabling environment to learners with complex needs? Do want to work withi...",https://www.reed.co.uk/jobs/specialist-teaching-assistant-sen-ta/54375613?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Specialist Teaching Assistant SEN TA,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Guildford, Surrey","Are you looking for a school that cares, a team that supports and a learner who is keen to thrive? Do you dream of joining a team that works together and guarantees a safe and enabling environment to learners with complex needs? Do want to work withi...",https://www.reed.co.uk/jobs/specialist-teaching-assistant-sen-ta/54375614?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
SEN Teacher,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Royston, Hertfordshire",SEN Teacher Foxton 160 - 210 a day Are you a passionate and dedicated Teacher seeking a role where you can make a real impact on the lives of children with Special Educational Needs(SEN)? Do you thrive in a supportive environment where making a diffe...,https://www.reed.co.uk/jobs/sen-teacher/54375615?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Specialist Teaching Assistant SEN TA,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Haywards Heath, West Sussex","Are you looking for a school that cares, a team that supports and a learner who is keen to thrive? Do you dream of joining a team that works together and guarantees a safe and enabling environment to learners with complex needs? Do want to work withi...",https://www.reed.co.uk/jobs/specialist-teaching-assistant-sen-ta/54375616?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
SEN Teacher,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Worthing, West Sussex","Are you looking for a school that cares, a team that supports and a learner who is keen to thrive? Do you dream of joining a team that works together and guarantees a safe and enabling environment to learners with complex needs? Do want to work withi...",https://www.reed.co.uk/jobs/sen-teacher/54375617?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Software Engineer 2,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Edinburgh, Midlothian","As a Software Engineer II, you will work as part of a Product Engineering team. At Best Buy Health, we strive to deliver end-end customer and patient outcomes vs. narrow features. They take care to evaluate where they can further the long-term techni...",https://www.reed.co.uk/jobs/software-engineer-2/54375606?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Senior Software Engineer,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Edinburgh, Midlothian","As a Senior Software Engineer, you will work as part of a Product Engineering team. At Best Buy Health, we strive to deliver end-end customer and patient outcomes vs. narrow features. They take care to evaluate where they can further the long-term team...",https://www.reed.co.uk/jobs/veritone/p102256
Head Chef,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Croyde, Devon","Join our kitchen team as Head Chef for a career with a little more sizzle Are you a passionate chef with a flair for management? At Parkdean Resorts, we’re looking for a Head Chef who’s ready to roll up their sleeves and make a real impact. You’ll be...",https://www.reed.co.uk/jobs/head-chef/54375608?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Maintenance Manager,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Embo, Sutherland","Got a knack for problem-solving, a love for teamwork, and a keen eye for detail? Join Parkdean Resorts in the role of Maintenance Manager and create amazing memories at work. Nothing beats good team camaraderie and the buzz of a busy shift, and our m...",https://www.reed.co.uk/jobs/maintenance-manager/54375509?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Holiday Home Sales Advisor,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Towyn, Clwyd","Join the Holiday Home Sales team as an Advisor and help turn our customers’ dreams of owning a holiday home into reality You’ll encourage our customers to take their first steps on a path to joining a welcoming Owner community. With your guidance, th...",https://www.reed.co.uk/jobs/holiday-home-sales-advisor/54375596?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Head Chef,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Embo, Sutherland",Head Chef Grannies Heilan' Hame Holiday Park - Possible Accommodation Join our kitchen team as Head Chef for a career with a little more sizzle Get your teeth stuck into a new role at Parkdean Resorts and watch your career grow as you serve up smiles...,https://www.reed.co.uk/jobs/head-chef/54375597?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Group Head of Tax,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Newcastle Upon Tyne, Tyne and Wear","Are you a seasoned tax professional ready to take on a leadership role? We’re seeking an experienced Head of Tax to join our dynamic Group Finance team, where you’ll play a pivotal role in delivering exceptional financial services to our stakeholders...",https://www.reed.co.uk/jobs/group-head-of-tax/54375598?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Studio Traffic Manager,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Newcastle Upon Tyne, Tyne and Wear","Parkdean Resorts is calling for a Studio Traffic Manager to join our fast-paced marketing team. This isn’t just any role – it’s your chance to be at the heart of our creative hub, making sure every project flows seamlessly from brief to brilliance. W...",https://www.reed.co.uk/jobs/studio-traffic-manager/54375599?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Head Chef,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Holywell Bay, Cornwall","Join our kitchen team as Head Chef for a career with a little more sizzle Are you a passionate chef with a flair for management? At Parkdean Resorts, we’re looking for a Head Chef who’s ready to roll up their sleeves and make a real impact. You’ll be...",https://www.reed.co.uk/jobs/head-chef/54375600?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Holiday Home Sales Manager,Veritone,1 hr ago,"£44,720 - £80,000 OTE","Permanent, full-time","Eyemouth, Berwickshire","Holiday Home Sales Manager £44,720 - £80,000 OTE Eyemouth Holiday Park Ready to drive sky-high standards? Join us in a leading role as Holiday Home Sales Manager and create amazing memories at work. You’ll be an ace at all aspects of sales management, ...",https://www.reed.co.uk/jobs/holiday-home-sales-manager/54375601?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
